order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9
70839,14677,18706,15251,11676,NA,NA,NA,NA,NA
70839,14677,18783,13106,11522,56752,NA,NA,NA,NA
70839,14677,104110,18746,13806,12183,NA,NA,NA,NA
70839,14677,104110,18605,72157,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,72141,NA,NA,NA
70839,14677,104110,18747,19013,74147,270076,78920,NA,NA
70839,14677,18706,56484,20655,66925,NA,NA,NA,NA
70839,14677,18706,56484,20655,66945,NA,NA,NA,NA
70839,14677,104110,18605,66681,19139,NA,NA,NA,NA
70839,14677,18706,56717,19016,14625,11677,NA,NA,NA
70839,14677,18706,56717,19016,14625,11997,NA,NA,NA
70839,14677,18706,56717,19016,14625,14187,NA,NA,NA
70839,14677,18706,56717,19016,14625,67861,NA,NA,NA
70839,14677,18706,56717,19016,14625,11677,20322,67880,NA
70839,14677,18783,13106,394436,NA,NA,NA,NA,NA
70839,14677,18783,13106,13849,71755,NA,NA,NA,NA
70839,14677,18706,56717,19016,14625,11677,20322,NA,NA
70839,14677,18706,56717,19016,14625,11677,20322,16548,NA
70839,14677,26413,22059,319801,NA,NA,NA,NA,NA
70839,14677,104110,18747,18639,110119,NA,NA,NA,NA
70839,14677,18706,15251,15275,29858,331026,218138,22122,NA
70839,14677,18706,15251,15275,226413,53418,NA,NA,NA
70839,14677,18795,114663,56727,NA,NA,NA,NA,NA
70839,14677,18783,13106,100559,22235,NA,NA,NA,NA
70839,14677,18706,18762,20787,14104,NA,NA,NA,NA
70839,14677,18706,18762,20787,14104,26922,99035,NA,NA
70839,14677,104110,18747,13074,14979,71147,NA,NA,NA
70839,14677,104110,18747,19013,14081,NA,NA,NA,NA
70839,14677,100503710,105787,107476,257633,NA,NA,NA,NA
70839,14677,18706,18762,20787,14104,26922,NA,NA,NA
70839,14677,18706,18762,20787,14104,234309,NA,NA,NA
70839,14677,18706,18762,20787,14104,26922,19063,NA,NA
70839,14677,18706,18762,20787,14104,26922,54397,NA,NA
70839,14677,18783,13106,100041375,56348,66775,NA,NA,NA
70839,14677,18783,13106,100041375,56348,70757,NA,NA,NA
70839,14677,26413,13982,19015,11363,NA,NA,NA,NA
